"target","bc_target","property_room_type","property_max_guests","property_bathrooms","property_bedrooms","property_beds","property_bed_type","property_last_updated","host_id","host_response_time","host_response_rate","host_nr_listings","booking_price_covers","booking_min_nights","booking_max_nights","booking_availability_30","booking_availability_60","booking_availability_90","booking_availability_365","booking_cancel_policy","reviews_num","reviews_first","reviews_last","reviews_rating","reviews_acc","reviews_cleanliness","reviews_checkin","reviews_communication","reviews_location","reviews_per_month","zipcode_class","dist_nearest_city_center","type_class","host_location_country","host_verified_amount","years_as_host","reviews_num_cat","review_period","review_period_was_missing","profile_pic","exact_location","instant_bookable","superhost","identified_host"
26,2.45845106573825,"Private room",1,1,1,1,"Real Bed","a week ago",10012530,"within a few hours",100,1,1,1,1125,7,37,67,96,"flexible",23,"2015-12-01","2017-05-01",97,10,9,10,10,9,1.31,64.5296551724138,0.0273895424101583,67.7696647324307,"BE",3,10,3,517,0,"1","0","0","0","0"
75,2.99133621852285,"Entire home/apt",4,1.5,2,2,"Real Bed","4 weeks ago",100188333,"within a few hours",75,1,1,2,15,0,0,25,25,"flexible",1,"2017-04-27","2017-04-27",100,10,10,10,10,8,1,68.9073324336482,0.0304298837743673,67.7696647324307,"BE",3,7,1,0,0,"1","1","0","0","0"
110,3.16008337484783,"Entire home/apt",2,1,1,1,"Real Bed","2 days ago",100228761,"within an hour",100,1,1,2,1125,20,34,55,330,"flexible",4,"2016-12-04","2017-05-07",93,10,10,9,9,9,0.75,64.5296551724138,0.030659073684618,73.7420634920635,"BE",3,7,1,154,0,"1","1","1","0","0"
60,2.88746292599211,"Private room",2,1,1,1,"Real Bed","5 weeks ago",10026319,"within an hour",100,2,1,1,1125,21,46,64,339,"flexible",109,"2016-01-25","2017-05-08",98,10,10,10,10,10,6.9,68.9073324336482,0.0065616452389291,67.7696647324307,"BE",5,10,3,469,0,"1","1","0","1","1"
55,2.84580327119655,"Private room",2,1,1,1,"Real Bed","a week ago",10026319,"within an hour",100,2,1,1,1125,23,50,80,355,"flexible",61,"2016-02-28","2017-04-28",97,10,10,10,10,10,4.16,68.9073324336482,0.0059846713310184,67.7696647324307,"BE",5,10,3,425,0,"1","1","0","1","1"
139,3.25754552556961,"Private room",2,2,1,1,"Real Bed","3 days ago",10027280,"within an hour",100,1,2,1,5,10,40,70,345,"moderate",7,"2017-03-12","2017-05-04",94,10,8,10,10,9,3.56,68.9073324336482,0.0164100109495015,67.7696647324307,"BE",4,10,2,53,0,"1","1","1","0","1"
85,3.04778102599245,"Entire home/apt",6,1,3,3,"Real Bed","3 months ago",10030076,"a few days or more",0,1,3,3,1125,0,7,37,312,"strict",5,"2014-02-13","2016-12-29",92,10,9,10,10,10,0.13,64.5296551724138,0.0462317762422838,67.7696647324307,"other",3,10,1,1050,0,"1","0","0","0","0"
35,2.61847066597023,"Private room",2,1,1,1,"Real Bed","yesterday",100316952,"within an hour",100,1,1,1,7,0,0,25,25,"flexible",14,"2016-11-28","2017-04-18",97,10,10,10,10,9,2.58,64.5296551724138,0.0351016088942267,67.7696647324307,"BE",6,7,2,141,0,"1","0","1","1","1"
81,3.02619528274422,"Entire home/apt",2,1,0,1,"Real Bed","3 weeks ago",10032505,"within a few hours",100,2,1,30,1125,0,0,0,127,"strict",4,"2015-08-07","2016-07-29",100,10,10,10,10,9,0.19,68.9073324336482,0.0150408825942201,67.7696647324307,"BE",3,10,1,357,0,"1","1","0","0","0"
27,2.47925036017336,"Private room",2,1.5,1,1,"Pull-out Sofa","4 months ago",10033035,"within a day",70,2,1,1,1125,30,60,90,365,"flexible",2,"2017-03-05","2017-03-12",100,10,10,9,10,10,0.91,68.9073324336482,0.0455066550737457,67.7696647324307,"BE",5,10,1,7,0,"1","0","0","0","1"
