"target","bc_target","property_room_type","property_max_guests","property_bathrooms","property_bedrooms","property_beds","property_bed_type","property_last_updated","host_id","host_response_time","host_response_rate","host_nr_listings","booking_price_covers","booking_min_nights","booking_max_nights","booking_availability_30","booking_availability_60","booking_availability_90","booking_availability_365","booking_cancel_policy","reviews_num","reviews_first","reviews_last","reviews_rating","reviews_acc","reviews_cleanliness","reviews_checkin","reviews_communication","reviews_location","reviews_per_month","property_zip_missing","zipcode_class","dist_nearest_city_center","type_class","property_last_updated_numerical","Outlet covers","Fireplace guards","Grab-rails for shower and toilet","Table corner guards","Washer / Dryer","Free parking on street","Disabled parking spot","Flat smooth pathway to front door","Keypad","Single level home","host_location_country","host_verified_amount","years_as_host","category_30_low","category_30_medium","category_30_high","category_60_low","category_60_medium","category_60_high","category_90_low","category_90_medium","category_90_high","category_365_low","category_365_medium","category_365_high","reviews_num_cat","review_period","review_period_was_missing","profile_pic","exact_location","instant_bookable","superhost","identified_host","summary_score","property_sqfeet","property_type","property_zipcode"
70,2.95966893810484,"Private room",2,1,1,1,"Real Bed","2 weeks ago",29733874,"within a day",50,1,1,1,1125,14,19,43,289,"moderate",2,"2016-06-21","2017-03-18",90,9,10,9,10,9,0.19,0,68.7899101589496,0.0361614461242485,67.7722584719007,14,0,0,0,0,0,0,0,0,0,0,"BE",4,8,0,0,1,0,1,0,0,1,0,0,0,1,1,270,0,"1","1","0","0","1",0,NA,"Apartment","1040"
59,2.87946722092524,"Private room",2,1,1,1,"Real Bed","4 days ago",10640939,"within a day",69,1,1,2,1125,23,53,83,358,"flexible",10,"2016-01-16","2017-04-24",98,9,9,10,10,10,0.63,0,68.7899101589496,0.0192676246512744,67.7722584719007,1460,0,0,0,0,0,0,0,0,0,0,"other",5,10,0,0,1,0,0,1,0,0,1,0,0,1,2,464,0,"1","1","0","0","1",0,NA,"Apartment","1000"
26,2.45845106573825,"Entire home/apt",2,1,1,2,"Real Bed","19 months ago",1409236,"",90.1782530862846,1,2,2,4,0,0,0,0,"strict",0,"","",NA,NA,NA,NA,NA,NA,NA,0,67.4595649749024,0.044244075621489,67.7722584719007,589,0,0,0,0,0,0,0,0,0,0,"BE",4,12,1,0,0,1,0,0,1,0,0,1,0,0,3,NA,1,"1","1","1","0","0",0,NA,"Apartment","1180"
61,2.89530266943898,"Private room",3,1.5,1,2,"Real Bed","2 weeks ago",6578273,"within a day",81,3,2,1,1125,2,9,14,281,"moderate",73,"2015-03-16","2017-04-19",91,9,9,10,9,9,2.79,0,68.7899101589496,0.00852671316388934,67.7722584719007,14,0,0,0,0,0,0,0,0,0,0,"BE",4,10,0,1,0,0,1,0,0,1,0,0,1,0,3,765,0,"1","1","0","0","1",0,NA,"Apartment","1000"
52,2.81859705791237,"Entire home/apt",5,1,2,2,"Real Bed","5 weeks ago",46073410,"within a few hours",100,1,1,5,155,29,59,89,145,"moderate",1,"2017-01-02","2017-01-02",100,10,8,10,10,10,0.23,1,67.4595649749024,0.0480549823973616,67.7722584719007,35,0,0,0,0,0,0,0,0,0,0,"BE",4,8,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,"1","0","0","0","1",0,NA,"Apartment","1050"
200,3.40109105029749,"Entire home/apt",1,1,1,1,"Real Bed","5 weeks ago",23082521,"within a few hours",99,79,1,30,1125,0,0,0,250,"strict",4,"2015-07-29","2015-10-18",70,9,8,9,8,7,0.18,0,67.4595649749024,0.0193917319180577,67.7722584719007,35,0,0,0,0,0,0,0,0,0,0,"BE",5,9,1,0,0,1,0,0,1,0,0,0,1,0,1,81,0,"1","0","0","0","1",-1,NA,"Apartment","1210"
50,2.79940753029994,"Private room",2,1.5,1,1,"Real Bed","a week ago",73367584,"within an hour",100,3,1,2,300,0,10,40,130,"flexible",0,"","",NA,NA,NA,NA,NA,NA,NA,0,87.625,0.0656258257509863,67.7722584719007,7,0,0,0,0,0,0,0,0,0,0,"BE",5,7,1,0,0,0,1,0,0,1,0,0,1,0,3,NA,1,"1","1","1","1","0",3,NA,"House","2660"
64,2.91793999568031,"Entire home/apt",4,1,2,3,"Real Bed","2 weeks ago",2712790,"within a few hours",100,2,1,3,21,0,14,14,14,"moderate",8,"2016-12-15","2017-04-22",98,10,10,10,10,10,1.64,0,61.6788990825688,0.0824726903080428,67.7722584719007,14,0,0,0,0,0,0,0,0,0,0,"BE",5,11,1,0,0,0,1,0,0,1,0,1,0,0,2,128,0,"1","1","0","0","1",5,NA,"House","1160"
66,2.93234588946343,"Entire home/apt",4,1,1,2,"Real Bed","3 weeks ago",29915471,"",92.3882066858478,1,2,3,7,0,0,0,0,"flexible",1,"2016-03-13","2016-03-13",100,10,10,10,10,10,0.07,0,67.4595649749024,0.019109759899789,67.7722584719007,21,0,0,0,0,0,0,0,0,0,0,"BE",4,8,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,"1","1","0","0","0",0,NA,"Apartment","1210"
80,3.02060153370364,"Entire home/apt",4,1,1,2,"Real Bed","2 days ago",6881653,"within an hour",100,9,1,1,365,15,30,52,318,"strict",81,"2013-07-01","2017-04-25",80,9,8,9,9,8,1.72,0,68.7899101589496,0.0116907293099515,67.7722584719007,730,0,0,0,0,0,0,0,0,0,0,"BE",4,10,0,0,1,0,1,0,0,1,0,0,0,1,3,1394,0,"1","1","1","0","1",2,538,"Apartment","1000"
